,Lb_name,Lb_adress2,Lb_longitude,Lb_latitude,Cr_name,Cr_adress2,Cr_longitude,Cr_latitude,great-circle distance,haversine distance,walking_distance_in_m,walking_distance_in_km,walking_time_in_s,walking_time_in_min,car_distance_in_m,car_distance_in_km,car_time_in_s,car_time_in_min
111249,Ladbrokes L1306,"54-56 High Street  ,Lewisham  ,  ,LONDON  ,SE13 5JH",-0.0109336,51.4634354,C3156,"179 Lewisham High Street  ,London  ,  ,LONDON  ,SE13 6AA",-0.011045,51.4598206,402,0.402022061,548,0.5 km,403,7 mins,5207,5.2 km,877,15 mins
113473,Ladbrokes L0971,"8/10 Lee High Road  ,Lewisham  ,  ,LONDON  ,SE13 5LQ",-0.0087997,51.4622051,C3156,"179 Lewisham High Street  ,London  ,  ,LONDON  ,SE13 6AA",-0.011045,51.4598206,307,0.307406403,481,0.5 km,358,6 mins,5003,5.0 km,814,14 mins
117920,Ladbrokes L2254,"68 Broadway  ,Stratford  ,  ,LONDON  ,E15 1NG",0.002534,51.5419721,C1828,"Ground & First Floor  ,32 Broadway  ,  ,LONDON  ,E15 4QS",0.000503576,51.54058409,209,0.208658677,220,0.2 km,156,3 mins,1029,1.0 km,301,5 mins
123483,Ladbrokes L3849,"25 Catford Broadway  ,London  ,  ,LONDON  ,SE6 4SN",-0.0211897,51.4455792,C2123,"78 Rushey Green  ,London  ,  ,LONDON  ,SE6 4HW",-0.0183324,51.4476978,308,0.307745102,370,0.4 km,271,5 mins,1455,1.5 km,327,5 mins
177996,Ladbrokes L1017,"103 Katherine Road  ,East Ham  ,  ,LONDON  ,E6 1EW",0.0463439,51.5346619,C1798,"1 Kempton Road  ,East Ham  ,  ,LONDON  ,E6 2LD",0.053409,51.534929,490,0.489578455,583,0.6 km,439,7 mins,1274,1.3 km,324,5 mins
186892,Ladbrokes L3121,"162/164 High Street North  ,East Ham  ,  ,LONDON  ,E6 2JA",0.0517927,51.5378937,C1798,"1 Kempton Road  ,East Ham  ,  ,LONDON  ,E6 2LD",0.053409,51.534929,348,0.348099348,385,0.4 km,286,5 mins,610,0.6 km,143,2 mins
198014,Ladbrokes L0643,"43 Broadway  ,West Ealing  ,  ,LONDON  ,W13 9BP",-0.3236579,51.5100665,C2158,"217 Uxbridge Road  ,West Ealing  ,  ,LONDON  ,W13 9AA",-0.3192296,51.5108402,318,0.318305877,327,0.3 km,262,4 mins,331,0.3 km,111,2 mins
201360,Ladbrokes L0376,"14/15 Holmstall Parade  ,Burnt Oak  ,  ,EDGWARE  ,HA8 5HX",-0.2640409,51.597275,C1730,"69 Burnt Oak Broadway  ,Edgware  ,  ,EDGWARE  ,HA8 5EP",-0.2681237,51.6007298,477,0.476550176,519,0.5 km,408,7 mins,712,0.7 km,143,2 mins
204692,Ladbrokes L1939,"25 The Market Square  ,Edmonton Green  ,  ,LONDON  ,N9 0TZ",-0.0581652,51.6242489,C3117,"375 Fore Street  ,Edmonton  ,  ,LONDON  ,N9 0NR",-0.061657,51.6224476,313,0.31340596,549,0.5 km,417,7 mins,548,0.5 km,120,2 mins
205804,Ladbrokes L1815,"37 Church Street  ,Edmonton  ,  ,LONDON  ,N9 9QD",-0.064998,51.6261359,C3117,"375 Fore Street  ,Edmonton  ,  ,LONDON  ,N9 0NR",-0.061657,51.6224476,471,0.470522506,642,0.6 km,471,8 mins,750,0.8 km,216,4 mins
209144,Ladbrokes L1967,"112/114 Burnt Oak Broadway  ,Burnt Oak  ,  ,EDGWARE  ,HA8 0BE",-0.2669873,51.6006349,C1730,"69 Burnt Oak Broadway  ,Edgware  ,  ,EDGWARE  ,HA8 5EP",-0.2681237,51.6007298,79,0.079194538,141,0.1 km,116,2 mins,296,0.3 km,75,1 min
241516,Ladbrokes L0697,"1111 Warwick Road  ,Acocks Green  ,  ,BIRMINGHAM  ,B27 6RA",-1.821918,52.4463511,C1302,"1192 Warwick Road  ,Acock's Green  ,  ,BIRMINGHAM  ,B27 6BT",-1.8166862,52.4455137,367,0.366604925,409,0.4 km,324,5 mins,409,0.4 km,76,1 min
270445,Ladbrokes L3483,"27 Dudley Street  ,Wolverhampton  ,  ,WOLVERHAMPTON  ,WV1 3ER",-2.1263845,52.5841316,C1329,"34 Princess Street  ,Wolverhampton  ,  ,WOLVERHAMPTON  ,WV1 1HD",-2.1251824,52.5860904,232,0.232457419,305,0.3 km,222,4 mins,544,0.5 km,156,3 mins
271557,Ladbrokes L2150,"37 Queen Square  ,Wolverhampton  ,  ,WOLVERHAMPTON  ,WV1 1TL",-2.1288359,52.5858898,C1329,"34 Princess Street  ,Wolverhampton  ,  ,WOLVERHAMPTON  ,WV1 1HD",-2.1251824,52.5860904,248,0.247831924,279,0.3 km,207,3 mins,2035,2.0 km,482,8 mins
280460,Ladbrokes L3988,"25 Market Place  ,Cannock  ,  ,CANNOCK  ,WS11 1BS",-2.0307426,52.6885982,C3018,"47 St. John's Road  ,Cannock  ,  ,CANNOCK  ,WS11 0AL",-2.0326237,52.6844288,481,0.480642299,679,0.7 km,479,8 mins,1975,2.0 km,308,5 mins
282688,Ladbrokes L0326,"2/4 Ironmonger Row  ,Coventry  ,  ,COVENTRY  ,CV1 1FD",-1.509949,52.4093282,C3168,"48 Hertford Street  ,Coventry  ,  ,COVENTRY  ,CV1 1LF",-1.5122677,52.4061805,384,0.383724721,421,0.4 km,311,5 mins,3086,3.1 km,416,7 mins
282689,Ladbrokes L0326,"2/4 Ironmonger Row  ,Coventry  ,  ,COVENTRY  ,CV1 1FD",-1.509949,52.4093282,C2985,"78-79 Hartford Street  ,Broadgate  ,  ,COVENTRY  ,CV1 1LB",-1.5102596,52.4075114,203,0.203114882,222,0.2 km,175,3 mins,3157,3.2 km,430,7 mins
297159,Ladbrokes L2361,"174/175 High Street  ,Burton On Trent  ,  ,BURTON-ON-TRENT  ,DE14 1JE",-1.6305564,52.8019004,C2605,"186/187 Station Street  ,Burton-on-Trent  ,  ,BURTON-ON-TRENT  ,DE14 1BH",-1.6320295,52.8034827,202,0.201898109,270,0.3 km,190,3 mins,200,0.2 km,74,1 min
300499,Ladbrokes L0729,"5 High Street  ,Evesham  ,  ,EVESHAM  ,WR11 4DA",-1.9473344,52.0928387,C1394,"64 High Street  ,Evesham  ,  ,EVESHAM  ,WR11 4HG",-1.9462076,52.0941825,168,0.168086591,179,0.2 km,138,2 mins,569,0.6 km,130,2 mins
328315,Ladbrokes L2372,"88/92 St Peters Street  ,Derby  ,  ,DERBY  ,DE1 1SR",-1.475438,52.9194865,C1274,"34 Victoria Street  ,Derby  ,  ,DERBY  ,DE1 1ES",-1.4768786,52.9213972,233,0.233382311,249,0.2 km,165,3 mins,1113,1.1 km,340,6 mins
332763,Ladbrokes L0004,"13 East Street  ,Derby  ,  ,DERBY  ,DE1 2AU",-1.4746843,52.9213019,C1274,"34 Victoria Street  ,Derby  ,  ,DERBY  ,DE1 1ES",-1.4768786,52.9213972,147,0.147488608,178,0.2 km,130,2 mins,160,0.2 km,51,1 min
359495,Ladbrokes L2373,"8/10 Southgate Street  ,Gloucester  ,  ,GLOUCESTER  ,GL1 2DH",-2.2464064,51.8650679,C3256,"47 Northgate Street  ,Gloucester  ,  ,GLOUCESTER  ,GL1 2AJ",-2.2444316,51.8666188,219,0.219377096,220,0.2 km,152,3 mins,2149,2.1 km,382,6 mins
362841,Ladbrokes L2266,"37 Clumber Street  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 3ED",-1.1478055,52.9546955,C3123,"33 Long Row  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 2DR",-1.1499687,52.95389,170,0.170358089,278,0.3 km,195,3 mins,2386,2.4 km,536,9 mins
362845,Ladbrokes L2266,"37 Clumber Street  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 3ED",-1.1478055,52.9546955,C2338,"Unit 2a  ,The Elite Building  ,  ,NOTTINGHAM  ,NG1 2BP",-1.1500089,52.9548267,148,0.148322697,379,0.4 km,286,5 mins,2376,2.4 km,533,9 mins
363952,Ladbrokes L2243,"36 Abington Street  ,Northampton  ,  ,NORTHAMPTON  ,NN1 2AP",-0.8934351,52.2382531,C3058,"36/40 Drapery  ,Northampton  ,  ,NORTHAMPTON  ,NN1 2HJ",-0.8970469,52.2380658,247,0.246821146,380,0.4 km,269,4 mins,1854,1.9 km,540,9 mins
366177,Ladbrokes L2647,"50 Milton Street  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 3GL",-1.1481475,52.9562877,C3123,"33 Long Row  ,Nottingham  ,  ,NOTTINGHAM  ,NG1 2DR",-1.1499687,52.95389,293,0.293199666,338,0.3 km,241,4 mins,304,0.3 km,100,2 mins
